ward,pre,post,p23,p45,ev_pre,ev_post,ev_all,spend,area,growth,delta,d23,d45,log_spend,log_area,log_growth
Kadugodi,1.8661192505827089,1.3100149827423588,0.9621273409260684,1.5883250961953912,8,23,47,49240798.0,11.2,2.9412,-0.55610426784035,-0.9039919096566404,-0.2777941543873177,17.71223308579388,2.4159137783010487,1.07881766133993
Kavalbyrasandra,0.43456180170490727,0.44060435888558763,0.36292500735774524,0.5027478401078614,2,13,18,124427025.0,1.6,3.3727,0.0060425571806803635,-0.07163679434716202,0.06818603840295417,18.63922996547767,0.47000362924573563,1.2157136105289557
Kempegowda Ward,0.6557965875208308,1.895468660433328,2.0648876773115545,1.7599334469307473,2,28,43,88324052.0,10.9,1.8327,1.239672072912497,1.4090910897907238,1.1041368594099166,18.2965230293858,2.388762789235098,0.6057902893416939
Kengeri,0.8279205834055098,0.5924185657165172,0.5597655537589457,0.6185409752825743,2,9,18,189895044.0,5.1,1.9781,-0.2355020176889926,-0.2681550296465641,-0.20937960812293543,19.061982082761737,1.62924053973028,0.6821367880398931
Kodigehalli,1.215099279529135,1.1623941222458811,1.0892064121349696,1.2209442903346104,5,30,62,35947193.0,3.8,2.6641,-0.05270515728325398,-0.1258928673941655,0.005845010805475281,17.397561586233866,1.33500106673234,0.9798662895111645
Konanakunte,1.0751950034383861,0.8966878055775945,0.6900141080118154,1.062026763630218,8,18,38,62474806.0,3.4,2.0426,-0.1785071978607916,-0.38518089542657075,-0.013168239808168059,17.950273945444824,1.2237754316221157,0.7142235061618616
Konena Agrahara,0.7105226863142026,0.9516994324152905,0.8934290359687571,0.9983157495725173,1,8,19,19316844.0,2.1,3.1103,0.24117674610108797,0.18290634965455455,0.2877930632583148,16.776488071135944,0.7419373447293773,1.1347191845613926
Koramangala,1.3213971545713525,0.8566648694043845,0.6817227469160609,0.9966185673950433,7,16,42,25900604.0,3.7,2.2459,-0.4647322851669681,-0.6396744076552916,-0.32477858717630925,17.069776885470308,1.308332819650179,0.8091063317275399
Kottigepalya,0.3571268306928867,0.5264289011885794,0.6326840711304235,0.4414247652351041,2,10,20,8852804.0,5.8,1.8571,0.16930207049569274,0.27555724043753677,0.0842979345422174,15.996244915918883,1.7578579175523736,0.6190161312168702
Kumaraswamy Layout,0.9657178151282486,0.6978016674017691,0.6832172403766464,0.7094692090218673,4,12,19,82511920.0,1.8,2.912,-0.26791614772647954,-0.2825005747516022,-0.25624860610638134,18.228453337835926,0.5877866649021191,1.0688401303344395
Kuvempu Nagar,0.5020257393050571,1.0212290608005676,1.2213929923047275,0.86109791559724,1,19,33,2049813.0,7.1,3.0113,0.5192033214955105,0.7193672529996704,0.3590721762921829,14.533259615290904,1.9600947840472698,1.1023718792092585
Laggere,0.33105358974537213,0.8453325331912622,0.7608188402938135,0.9129434875092214,0,8,12,10754300.0,1.6,1.7573,0.5142789434458901,0.4297652505484414,0.5818898977638493,16.19081632554533,0.47000362924573563,0.5637785402186635
Mangammanapalya,1.5652551019647987,1.5211243834131973,0.961753051413974,1.9686214490125764,9,23,57,11361795.0,3.5,2.1498,-0.04413071855160133,-0.6035020505508246,0.40336634704777774,16.245767057352563,1.252762968495368,0.7653748145568261
Manorayanapalya,1.6849967038510199,1.4590222468814522,2.3595207827927283,0.7386234181524312,4,16,24,173364822.0,0.8,3.4858,-0.22597445696956764,0.6745240789417084,-0.9463732856985887,18.970908735525278,-0.2231435513142097,1.2486975731054442
Mathikere,0.7292635789289387,1.0415431213391138,0.7604060195188094,1.2664528027953572,1,8,10,6623471.0,0.9,1.8218,0.3122795424101751,0.0311424405898707,0.5371892238664185,15.706130261725283,-0.10536051565782628,0.5998250233285725
Nayandanahalli,1.880096398280842,1.6322140308759479,1.7352034502556193,1.5498224953722106,4,7,14,29598972.0,2.1,0.8863,-0.24788236740489422,-0.1448929480252228,-0.33027390290863146,17.203250222746426,0.7419373447293773,-0.12069978523778481
Newthippasandra,1.795786182551402,1.3644106359983559,1.7721745432382745,1.0381995102064205,8,21,42,9812547.0,3.4,2.7461,-0.4313755465530462,-0.023611639313127597,-0.7575866723449816,16.09917253278058,1.2237754316221157,1.0101817232886832
Padmanabha Nagar,0.979911743475493,0.4920890228603635,0.5453919492446743,0.44944668175291486,4,4,21,22665750.0,1.7,2.2676,-0.48782272061512955,-0.43451979423081877,-0.5304650617225781,16.936365576597463,0.5306282510621704,0.8187220034680115
Pattabhiram Nagar,0.4037737182137396,0.6373862636791563,0.32956906256390206,0.8836400245713596,1,9,19,10553795.0,1.7,1.9983,0.2336125454654167,-0.07420465564983753,0.47986630635762,16.171996163596642,0.5306282510621704,0.6922968191051063
Pulikeshi Nagar,2.4250384440241772,0.8096562645233634,0.8363127007764487,0.7883311155208952,9,5,20,63160755.0,1.7,2.1336,-1.6153821795008139,-1.5887257432477284,-1.636707328503282,17.961193716881095,0.5306282510621704,0.7578106938856675
Puttenahalli,1.3603444815479573,1.411802975070221,0.8221618278571499,1.883515892840678,6,17,38,237008928.0,2.9,1.3929,0.051458493522263726,-0.5381826536908074,0.5231714112927208,19.283608373495202,1.0647107369924282,0.3313879047118487
Radhakrishna Temple,1.1817737520784133,1.238385868528977,0.9341037440938944,1.4818115680770432,5,17,28,19773882.0,1.9,2.0825,0.05661211645056374,-0.24767000798451888,0.3000378159986299,16.799872584561186,0.6418538861723947,0.7335690950588607
Rajarajeshwari Nagar,0.646535821720681,0.9067620408233422,0.8565764934313866,0.9469104787369067,16,40,99,60212420.0,11.1,1.4952,0.2602262191026612,0.21004067171070562,0.3003746570162257,17.913389217899823,2.4069451083182885,0.4022599771592161
Ramamurthy Nagar,1.4739168749296498,1.08169168578919,1.1874460221665615,0.9970882166872933,20,32,104,116642240.0,7.3,1.8594,-0.3922251891404598,-0.28647085276308837,-0.47682865824235654,18.574622039003017,1.9878743481543455,0.6202538550396205
Sampangiram Nagar,0.8554084405931568,0.8494190545536873,1.0206834676141938,0.7124075241052821,3,9,16,16115505.0,4.4,1.9091,-0.005989386039469524,0.16527502702103702,-0.14300091648787472,16.595292472056133,1.4816045409242156,0.6466319268184766
Sanjay Nagar,0.4758726468473387,0.7853032510666831,0.5274464185540455,0.9915887170767933,1,8,14,23499974.0,1.5,2.7091,0.3094306042193444,0.051573771706706795,0.5157160702294545,16.972509915284036,0.4054651081081644,0.9966164764120558
Sarakki,0.8448233344782885,1.2499856419557205,1.2465526898795813,1.2527320036166318,3,18,28,6688943.0,1.3,1.9099,0.405162307477432,0.40172935540129284,0.40790866913834334,15.715966572111546,0.26236426446749106,0.6470508846669718
Shanthala Nagar,0.83667800827854,0.6841699120993621,0.956629554284654,0.4662021983511287,3,11,32,7501190.0,4.0,2.6475,-0.15250809617917793,0.11995154600611402,-0.3704758099274113,15.830572365899153,1.3862943611198906,0.9736157984934245
Shanthi Nagar,0.9616086312685533,0.8577532777130832,0.7985986516302099,0.905076978579382,2,7,16,5049547.0,2.7,1.7399,-0.10385535355547015,-0.1630099796383434,-0.056531652689171374,15.43480929229524,0.9932517730102834,0.5538276403105334
Shettyhalli,2.319668790424601,1.0117698052025255,1.1739639588443636,0.8820144822890551,16,25,60,95888108.0,8.1,2.0159,-1.3078989852220755,-1.1457048315802374,-1.4376543081355457,18.378692538422325,2.0918640616783932,0.7010657458042407
Singasandra,1.5235199255504568,1.5113431684036853,1.8563613946547994,1.2353285874027944,15,43,107,38636995.0,9.7,1.8138,-0.012176757146771466,0.33284146910434265,-0.2881913381476624,17.469720821015205,2.272125885509337,0.5954240920313304
Someshwara,1.716460993306309,1.2754610057506404,1.2338863518861622,1.3087207288422231,18,45,113,631617283.0,8.8,1.762,-0.4409999875556687,-0.48257464142014683,-0.40774026446408596,20.263794205392486,2.174751721484161,0.5664495275139878
Subedarapalya,0.6857835714428847,1.1287015412844887,0.7405873741604767,1.4391928749836982,1,8,10,8802190.0,1.4,1.5296,0.44291796984160403,0.054803802717592,0.7534093035408135,15.990511225731465,0.3364722366212129,0.42500626331499985
Sudam Nagar,1.2818556098470535,1.4579437249954292,1.220354590969893,1.6480150322158582,3,12,23,5522508.0,1.0,2.481,0.17608811514837575,-0.06150101887716053,0.3661594223688047,15.524342843971777,0.0,0.9086617047096639
Sunkenahalli,0.6416131703172794,0.9297440222660044,0.48659825953748426,1.2842606324488206,2,12,17,8922758.0,1.5,1.6712,0.288130851948725,-0.15501491077979512,0.6426474621315412,16.004115761664018,0.4054651081081644,0.513541931260219
Thanisandra,1.2278148721668807,1.6399665953476683,2.1387048420961086,1.2409759979489163,17,59,128,220354017.0,10.0,1.3566,0.41215172318078763,0.9108899699292279,0.013161125782035654,19.21074598371275,2.302585092994046,0.3049815695298421
Ullalu,0.6931668101573992,0.5743965645539352,0.5048413306417835,0.6300407516836566,5,18,40,474788529.0,8.7,2.7224,-0.11877024560346405,-0.18832547951561573,-0.06312605847374264,19.978380062867974,2.163323025660538,1.0015138442045588
Ulsoor,0.9376449908410046,1.543326935031161,1.5950547518180418,1.5019446816016564,2,13,27,3567100.0,1.7,1.4854,0.6056819441901563,0.6574097609770372,0.5642996907606518,15.0872637790509,0.5306282510621704,0.39568409625305906
Uttarahalli,0.8164148693769645,0.9120369935780723,0.9852854467255444,0.8534382310600945,9,28,55,18612704.0,9.9,1.4354,0.09562212420110783,0.1688705773485799,0.03702336168313003,16.73935497001717,2.2925347571405443,0.3614435560138345
Vannarpet,0.4224320952785799,1.1462642702681016,0.9555633276562828,1.2988250243575565,0,12,18,5842414.0,0.8,2.2892,0.7238321749895218,0.5331312323777029,0.8763929290789767,15.580654796722781,-0.2231435513142097,0.8282024115528102
Varthur,1.5429642942224777,1.9202366473079837,1.8054093638743915,2.0120984740548575,12,48,107,93858386.0,28.3,2.6495,0.377272353085506,0.26244506965191383,0.4691341798323798,18.357297683013478,3.342861804649192,0.9743709429506798
Vasanth Nagar,2.1868865061666263,1.4794906449389182,2.1714520702882507,0.925921504659452,6,13,25,16299000.0,3.1,1.5118,-0.707395861227708,-0.015434435878375563,-1.2609650015071743,16.606614375555225,1.1314021114911006,0.4133009938759393
Vasanthapura,1.0020732847927605,0.9928239833693584,1.3418581314527511,0.7135966649026443,13,24,52,89295215.0,5.7,1.0961,-0.009249301423402079,0.33978484665999065,-0.2884766198901162,18.307458472183242,1.7404661748405046,0.09175842523954073
Vidyaranyapura,0.7701784810897089,0.5008554620820614,0.45225799212874956,0.539733438044711,7,15,43,61007149.0,9.9,1.7476,-0.26932301900764744,-0.3179204889609593,-0.2304450430449979,17.92650162838342,2.2925347571405443,0.5582434180951438
Vignana Nagar,0.9060079821246324,1.006603937486976,0.7537684611111388,1.208872318587646,5,17,51,146745687.0,5.7,2.1202,0.10059595536234356,-0.15223952101349358,0.3028643364630136,18.804211632935843,1.7404661748405046,0.7515104238568603
Vijanapura,0.2518621787080301,1.194162579503253,0.9712873078140134,1.3724627968546446,0,10,19,99163894.0,2.1,2.0957,0.9423004007952229,0.7194251291059832,1.1206006181466144,18.41228454431142,0.7419373447293773,0.7398876264437602
Vishwanathnagenahalli,1.3245199646219417,1.0109744463384776,1.40021285632476,0.6995837183494513,5,19,42,848732.0,1.5,3.6075,-0.3135455182834641,0.07569289170281834,-0.6249362462724903,13.65149992819937,0.4054651081081644,1.283015011665889
Yelachenahalli,0.5723278503109787,0.742869085084043,0.8413337434132593,0.6640973584206701,2,9,22,18983160.0,1.6,2.1894,0.17054123477306438,0.2690058931022806,0.09176950810969142,16.75906288100943,0.47000362924573563,0.7836275336883199
Yelahanka old Satellite Town,0.6761661684146546,1.220716825905256,0.6416944189276652,1.6839347514873289,2,19,32,344416781.0,4.6,1.2018,0.5445506574906015,-0.03447174948698939,1.0077685830726741,19.657363057553663,1.5260563034950492,0.1838204329176905
