ward,raw_slope,raw_p,share_slope,share_p,rel_slope,rel_p,events,ev_first4,ev_last4,co_first4,co_last4,rel_first4,rel_last4
Nayandanahalli,-0.0,0.8849857784863859,-0.0,0.9147298042788199,0.011064992578582369,0.6307989462589767,14,4,3,208,252,1.581641708784871,1.2724908370815549
Neelasandra,-0.0,0.10895972236837621,-0.0,0.23886817144066186,0.029354446995777897,0.23326655710712652,10,0,5,71,241,0.7754187156244117,1.990535193413091
Newthippasandra,-0.0,0.4651678311934686,-5.612519409657705e-05,0.5557349624423149,-0.008027313255485112,0.6771082386478994,42,9,12,539,1400,1.6927427859988684,1.1918783983409251
Okalipuram,-0.0,0.6944729643203018,-0.0,0.5192490622486565,-0.002963659850276253,0.8226828854421667,5,1,1,74,192,1.122950258679189,0.8511652199020739
Padarayanapura,-0.0,1.0,-0.0,0.8882339449173687,-0.005605215891001266,0.6771082386478994,4,1,1,60,151,1.191816361066244,1.0552055398780267
Padmanabha Nagar,-0.0,0.09191282561010841,-0.0,0.05853748036551905,-0.04049280652848338,0.033643947242160896,21,4,3,580,1476,0.8297913245618814,0.4321539600907527
Pattabhiram Nagar,-0.0,0.7496784711071866,-0.0,0.7017413828323193,-0.0008021230181618113,0.9744669029388741,19,2,9,632,1327,0.6098903727939662,0.9709132815547774
Peenya Industrial Area,-0.0,0.15289255304548535,-0.0,0.15621778686612534,-0.02887657528414803,0.04676893674989459,9,4,0,303,795,1.2693935629798891,0.29426473176336154
Prakash Nagar,-0.0,0.7625969508069989,-0.0,0.6671475648273959,-0.0076865465338946705,0.4222502818286719,7,1,2,107,255,0.9962319454293616,1.0155170183516584
Pulikeshi Nagar,-0.02631578947368421,0.05649935280422471,-0.0012794688564675455,0.007152117296136159,-0.050140459707397056,0.0983302187347563,20,11,3,368,730,2.4932437799835507,0.8131001030485432
Puttenahalli,-0.0,0.31641265730906876,0.00012817967832538013,0.5557349624423149,0.047895561661248226,0.20862839781386747,38,7,13,535,922,1.3273184452946294,1.8585997733368562
Radhakrishna Temple,-0.0,0.41618743475637787,-0.0,0.8680432819963503,0.019895017217935945,0.3858571513151256,28,5,13,576,1013,0.9950118587180713,1.7150618477498574
Rajagopala Nagar,-0.0,0.3008027423277617,-0.0,0.4142880026300717,0.0028307317668361445,0.8728414598639421,10,0,4,232,696,0.522082111121614,0.8604594979620345
Rajaji Nagar,-0.0,0.3995113198488579,-0.0,0.46101135791204073,0.00690863672950244,0.5858584459782121,6,0,3,277,523,0.4744013934391999,0.8393624535164989
Rajamahal,-0.0,0.8743093410941438,-0.0,0.9161284083092117,0.0029205450423717885,0.6771082386478994,4,0,1,277,470,0.4724324362905841,0.5843820049101952
Rajarajeshwari Nagar,-0.0,0.9217889505615494,-0.00011817581772054111,0.5424221448910934,0.0058077321859258384,0.4222502818286719,99,22,24,3467,4437,0.7947763944773063,0.7423685406587557
Ramamurthy Nagar,-0.23076923076923078,0.033399765287904545,-0.0006867910594974124,0.0014273106487188694,-0.047880850068855334,0.04676893674989459,104,25,13,1679,2998,1.7554898984914988,0.7078635228774603
Ramaswamy Palya,-0.0,0.6311709650372739,-0.0,0.8298963832086543,0.00033112738865990836,1.0,5,1,2,170,330,0.847089507121612,0.9789882473157028
Rayapuram,-0.0,0.25963977138128647,-0.0,0.25963977138128647,0.0031194190920193487,0.6307989462589767,3,0,3,112,238,0.6841470561485044,1.4126341566916505
S.K.Garden,-0.0,0.8743093410941438,-0.0,0.9161284083092117,-0.00613806901345996,0.5424221448910934,9,1,4,107,271,0.9716438285518244,1.5003491174103665
Sagayapuram,-0.0,0.09238008162314501,-0.0,0.11188552641187846,0.01445933463075193,0.18588304288709082,7,1,4,247,625,0.7788394674065146,0.9975914994519465
Sampangiram Nagar,-0.0,0.6229260993842226,-0.0,0.5450611564640462,0.004665709900211808,0.9235023313316655,16,4,4,546,1022,0.9974644428296402,0.7421504583649483
Sanjay Nagar,-0.0,0.27838960235533483,-0.0,0.7328067121420334,0.002900062997849585,0.7732194749063227,14,2,6,481,1382,0.7252421029589831,0.7978840145268997
Sarakki,0.08333333333333333,0.07175541351477784,3.9144323418516974e-05,0.3131526251041533,0.038338095377633885,0.0983302187347563,28,3,13,526,1260,0.7390400740671335,1.428378763600504
Sarvagna Nagar,-0.0,0.7395701870488107,-0.00024905556944663447,0.1720716176946302,-0.014424285692905915,0.4605237944389165,12,4,3,211,542,1.6843637182486988,0.9391152095476178
Shakambari Nagar,-0.0,0.05716510592655678,-0.0,0.1454460033454501,0.020345818214476036,0.039762136700688226,9,1,5,413,1001,0.5461381774339152,0.8440799056571244
Shakthiganapathi Nagar,-0.0,0.8501067391385259,-0.0,0.7081359261785469,-0.0054606155791921025,0.4605237944389165,4,0,1,256,515,0.4990152884003741,0.667098743456467
